00003699692   |116|01|00000000000|99            |999           |L|A|20170703
00004331605   |001|01|00000050000|99            |928           |L|A|20081101
00006101003   |001|01|00000050000|99            |152           |L|A|20081101
00007809603   |116|01|00000050000|99            |999           |L|A|20130121
00008296685   |116|01|00000050000|99            |121           |L|A|20081101
00008625689   |001|01|00000000000|99            |127           |L|A|20180608
00008825696   |004|01|00000050000|99            |926           |L|A|20081101
00013211617   |116|01|00000000000|99            |999           |L|A|20160923
00013265628   |116|01|00000079373|99            |131           |L|A|20170110
00015183645   |116|01|00000050000|99            |127           |L|A|20160829
00041895665   |116|01|00000050000|99            |923           |L|A|20121114
00043705626   |001|01|00000050000|99            |135           |L|A|20081101
00046056670   |001|01|00000050000|99            |124           |L|A|20081213
00050102680   |116|01|00000050000|99            |133           |L|A|20160315
00055478654   |116|01|00000050000|99            |123           |L|A|20100511
00055721699   |116|01|00000000000|99            |999           |L|A|20160804
00055764665   |001|01|00000058600|99            |923           |L|A|20110418
00062414682   |001|02|00000165016|99            |129           |L|A|20081101
00066950600   |116|01|00000050000|99            |954           |L|A|20160830
00067956688   |001|01|00000050000|99            |126           |L|A|20100716
00068556608   |001|01|00000050000|99            |135           |L|A|20100819
00069489602   |116|01|00000050000|99            |954           |L|A|20160830
00070441600   |001|01|00000050000|99            |924           |L|A|20100616
00071106693   |116|01|00000000000|99            |124           |L|A|20160810
00071508651   |001|01|00000050000|99            |926           |L|A|20081101
00071549684   |001|01|00000050000|99            |121           |L|A|20081101
00077355610   |116|01|00000050000|99            |128           |L|A|20140130
00101276664   |116|01|00000050000|99            |925           |L|A|20081101
00101281668   |001|01|00000050000|99            |924           |L|A|20081101
00117407607   |001|01|00000050000|99            |127           |L|A|20081101
00121801659   |116|01|00000050000|99            |924           |L|A|20100204
00122316657   |001|01|00000050000|99            |121           |L|A|20081101
00122622693   |116|01|00000050000|99            |926           |L|A|20100821
00123810639   |116|01|00000050000|99            |138           |L|A|20081101
00124251684   |116|01|00000050000|99            |954           |L|A|20160830
00124255671   |116|01|00000050000|99            |954           |L|A|20160830
00133636623   |001|01|00000050000|99            |925           |L|A|20091005
00139063641   |116|01|00000000000|99            |926           |L|A|20170605
00141448679   |001|01|00000050000|99            |999           |L|A|20150827
00142290645   |001|01|00000050000|99            |926           |L|A|20101009
00143397656   |116|01|00000050000|99            |120           |L|A|20170313
00154589624   |001|01|00000050000|99            |311           |L|A|20131230
00159403650   |116|01|00000050000|99            |990           |L|A|20131219
00170763668   |001|01|00000050000|99            |927           |L|A|20081101
00171040686   |001|01|00000050000|99            |225           |L|A|20150409
00190030640   |116|01|00000050000|99            |923           |L|A|20100623
00190867680   |001|01|00010000000|99            |666           |L|A|20081101
00191343633   |001|01|00000050000|99            |128           |L|A|20081101
00198232667   |116|01|00000142825|99            |131           |L|A|20081101
00199838674   |116|01|00000050000|99            |999           |L|A|20120816
00234421665   |116|01|00000050000|99            |954           |L|A|20160830
00234975644   |116|01|00000000000|99            |226           |L|A|20180111
00236716611   |116|01|00000050000|99            |924           |L|A|20090718
00237200694   |116|01|00000050000|99            |926           |L|A|20081101
00238771628   |001|01|00000050000|99            |122           |L|A|20081101
00239466608   |001|01|00000050000|99            |132           |L|A|20081101
00241050669   |116|01|00000050000|99            |132           |L|A|20130408
00248617664   |002|01|00000050000|99            |923           |L|A|20081101
00250514664   |001|01|00000000000|99            |130           |L|A|20180705
00250839610   |116|01|00000050000|99            |137           |L|A|20170221
00306218607   |116|01|00000000000|99            |130           |L|A|20171214
00306805650   |116|01|00000050000|99            |125           |L|A|20081101
00307547639   |116|01|00000050000|99            |928           |L|A|20081101
00308103610   |001|01|00000050000|99            |924           |L|A|20081101
00311546625   |001|01|00000050000|99            |928           |L|A|20081101
00311639631   |001|02|00000050000|99            |127           |L|A|20081101
00311672680   |001|01|00000050000|99            |928           |L|A|20081101
00312017685   |001|01|00000050000|99            |954           |L|A|20081101
00312107676   |116|01|00000050000|99            |999           |L|A|20130613
00312111606   |001|01|00000050000|99            |999           |L|A|20081101
00312627670   |001|01|00000050000|99            |925           |L|A|20090711
00312763697   |116|01|00000000000|99            |127           |L|A|20170919
00314689699   |001|01|00000050000|99            |928           |L|A|20081101
00314723625   |116|01|00000050000|99            |126           |L|A|20101208
00315225645   |001|01|00000050000|99            |928           |L|A|20081101
00340632690   |321|01|00000050000|99            |881           |L|A|20180511
00354379607   |116|01|00000050000|99            |954           |L|A|20160830
00354957660   |116|01|00000076321|99            |122           |L|A|20110407
00357967666   |116|01|00000050000|99            |121           |L|A|20140219
00359421695   |116|01|00000050000|99            |132           |B|A|20081101
00359723276   |001|01|00000050000|99            |132           |L|A|20081101
00361153635   |116|01|00000072297|99            |136           |L|A|20081101
00369107675   |001|01|00000403100|99            |926           |L|A|20100902
