000000001|00000001200|00563686000
000000005|00000000996|00028921000
000000010|00000002812|00008865000
000000011|00000002538|00007870000
000000012|00000002538|00000043000
000000013|00000002538|00001482000
000000014|00000002538|00000923000
000000017|00000002538|00001196000
000000020|00000002812|00003033000
000000030|00000003483|00017035000
000000050|00000002238|00007750000
000000051|00000002238|00000825000
000000052|00000002237|00000711000
000000053|00000002237|00000363000
000000054|00000002238|00000000000
000000055|00000002237|00000622000
000000060|00000002238|00004414000
000000070|00000002052|00005114000
000000071|00000002052|00001089000
000000072|00000002052|00000912000
000000073|00000002052|00000000000
000000075|00000002052|00000312000
000000080|00000001589|00000000000
000000090|00000003209|00000922000
000000100|00000003209|00001518000
000000103|00000004323|00000017000
000000110|00000001772|00004843000
000000111|00000001772|00002121000
000000112|00000001772|00001078000
000000113|00000001772|00001157000
000000114|00000001772|00000444000
000000115|00000001772|00000796000
000000120|00000001772|00002695000
000000131|00000001744|00000565000
000000132|00000001744|00000316000
000000133|00000001744|00000393000
000000135|00000001744|00000462000
000000150|00000001815|00000458000
000000151|00000001813|00000395000
000000152|00000001813|00000306000
000000180|00000002252|00001969000
000000190|00000002252|00000551000
000000213|00000001896|00000133000
000000214|00000001637|00000372000
000000220|00000002578|00000485000
000000226|00000003210|00000983000
000000232|00000002219|00000000000
000000250|00000004461|00008529000
000000251|00000003415|00000000000
000000252|00000004817|00005412000
000000256|00000003415|00000597000
000000257|00000002698|00000241000
000000258|00000003006|00001479000
000000265|00000003793|00015294000
000000266|00000002263|00000534000
000000270|00000002831|00000209000
000000282|00000005031|00000000000
000000283|00000005384|00001116000
000000300|00000003668|00007040000
000000310|00000002382|00000059000
000000312|00000003099|00000144000
000000560|00000001448|00001324000
000000561|00000001630|00001317000
000000565|00000001500|00011383000
000000566|00000001673|00009715000
000000570|00000001261|00002432000
000000571|00000001372|00002397000
000000575|00000002119|00000385000
000000576|00000002119|00000286000
000000577|00000002119|00000189000
000000580|00000002093|00001062000
000000585|00000003147|00001824000
000000587|00000004345|00000000000
000000590|00000001082|00003252000
000000640|00000001037|00000739000
000000641|00000001037|00000507000
000000642|00000001037|00000754000
000000643|00000001037|00000771000
000000700|00000000997|00000000000
000000710|00000001128|00000000000
000001000|00000010909|0000-858000
000001140|00000001744|00002048000
000001641|00000002953|00000043580
000001920|00000003879|00000022000
000001921|00000007407|00000023000
000001922|00000003123|00000000000
000002001|00000002045|00017412000
000002005|00000002494|00004910000
000002030|00000000519|00007793000
000002040|00000036364|000000-1000
000002041|00000004245|00000027000
000002042|00000004245|00000000000
000002043|00000004245|00000000000
000002050|00000002630|00029367000
000002051|00000002630|00000162000
000002052|00000002630|00023473000
000002053|00000002630|00008453000
000002056|00000002630|00032624000
000002058|00000002630|00001084000
000002060|00000002630|00000520000
000002063|00000002630|00001649000
000002071|00000004092|00007742000
000002072|00000004092|00006447000
000002073|00000004092|00002674000
000002074|00000004092|00000000000
000002075|00000004092|00004882000
000002076|00000004092|00003103000
000002078|00000004665|00000254000
000002079|00000004092|00000009000
000002080|00000004665|00001628000
000002081|00000004665|00002448000
000002083|00000004665|00004718000
000002084|00000004665|00001547000
000002085|00000004665|00001235000
000002086|00000004665|00001494000
000002087|00000004665|00000122000
000002088|00000004665|00000000000
000002091|00000004665|00000180000
000002092|00000004665|00000000000
000002093|00000004665|00000396000
